jpmyq asreb zxcvk  whtu_ dnloi gf___;100872;105820;170157;1.049;136853.00;134955.50;1.000;1346342.75
jpmbq asrey zxcvk  whtu_ dnloi gf___;100872;105820;170157;1.049;136882.00;134955.50;1.000;1346388.14
jpmyq asreb zxcvk  whtf_ dilno gu___;100872;105820;170157;1.049;136853.00;135322.50;1.000;1346522.10
jpmbq asrey zxcvk  whtf_ dilno gu___;100872;105820;170157;1.049;136882.00;135322.50;1.000;1346564.28
jpmyq asreb zxcvk  wuth_ dnloi gf___;100872;105820;170157;1.049;136853.00;135520.50;1.000;1346636.05
jpmbq asrey zxcvk  wuth_ dnloi gf___;100872;105820;170157;1.049;136882.00;135520.50;1.000;1346676.51
jpmyq asreb zxcvk  whtu_ dnlio gf___;100872;105820;170157;1.049;136853.00;135743.00;1.000;1346778.32
jpmyq asreb zxcvk  whtf_ dolni gu___;100872;105820;170157;1.049;136853.00;135744.00;1.000;1346779.00
jpmbq asrey zxcvk  whtu_ dnlio gf___;100872;105820;170157;1.049;136882.00;135743.00;1.000;1346816.86
jpmbq asrey zxcvk  whtf_ dolni gu___;100872;105820;170157;1.049;136882.00;135744.00;1.000;1346817.52
jpmyq asreb zxcvk  wfth_ dilno gu___;100872;105820;170157;1.049;136853.00;135877.00;1.000;1346871.21
jpmyq asreb zxcvk  whtf_ uolni gd___;100872;105820;170157;1.049;136853.00;135903.00;1.000;1346889.86
jpmbq asrey zxcvk  wfth_ dilno gu___;100872;105820;170157;1.049;136882.00;135877.00;1.000;1346908.60
jpmbq asrey zxcvk  whtf_ uolni gd___;100872;105820;170157;1.049;136882.00;135903.00;1.000;1346927.02
jpmyq asreb zxcvk  wfth_ dilon gu___;100872;105820;170157;1.049;136853.00;139195.00;1.001;1350840.78
jpmbq asrey zxcvk  whtf_ gilno du___;100872;105820;170157;1.049;136882.00;136636.00;1.000;1357911.55
jpmkq asrey zxcvb  wuth_ dniol gf___;100872;105820;170157;1.049;138671.00;142192.00;1.001;1361555.21
jpdyq asreb zxcvk  wuth_ mnloi gf___;99905;102306;174638;1.024;135437.50;130578.00;1.003;1368019.93
jpdbq asrey zxcvk  wfth_ molni gu___;99905;102306;174638;1.024;135909.00;132292.50;1.001;1368473.05
jpmbq asred zxcvk  whtf_ uloni gy___;108058;100272;168519;1.078;146741.00;133192.50;1.020;1378529.71
jpmyq asrek zxcvb  whif_ uolnt gd___;100872;105820;170157;1.049;138198.00;148067.00;1.010;1379058.56
jpmuq asrey zxcvk  whnb_ dtlio gf___;108151;98489;170209;1.098;148870.00;137848.50;1.013;1385886.16
jpmyq asreb zxcvk  wdtf_ holni gu___;100872;105820;170157;1.049;136853.00;150889.50;1.021;1390097.15
jpmyq asrew zxcvk  bhtf_ dolin gu___;98055;105997;172797;1.081;131237.00;141988.00;1.013;1391378.18
jpmbq asrey zxcvk  wfth_ digno lu___;100872;105820;170157;1.049;136882.00;140672.00;1.002;1394180.99
jumbq asrey zxcvk  wfth_ gilno dp___;100737;102309;173803;1.016;139812.00;130500.00;1.010;1395498.93
jumyq asreb zxcvk  wfth_ dilno gp___;100737;102309;173803;1.016;141604.00;129191.50;1.018;1396729.41
jpmwq asrey zxcvk  bgth_ dnloi uf___;98055;105997;172797;1.081;131754.50;142745.50;1.014;1401121.62
jfdyq asreb zxcvk  wuth_ mnloi gp___;92996;102043;181810;1.097;125809.00;131585.00;1.004;1402743.52
jumbq asrey zxcvk  wfth_ gidno lp___;100737;102309;173803;1.016;139812.00;132350.50;1.006;1408749.66
jpdbq asrey zxcvk  wfto_ mhlni gu___;99905;102306;174638;1.024;135909.00;143729.50;1.007;1411253.69
jpryq asmeb zxcvg  fhiw_ dunot kl___;103730;100067;173052;1.037;143597.00;144859.50;1.000;1414156.82
jpgyq asreb zxcvk  whtu_ dnoli mf___;93230;105722;177897;1.134;128465.00;138221.00;1.011;1416508.78
jpmkq asreb zxcvy  uwth_ ndloi gf___;100872;105820;170157;1.049;139770.00;149392.50;1.009;1417569.98
jgmyq asreb zxcvk  whtu_ dnlio pf___;93483;107722;175644;1.152;126576.50;139440.50;1.020;1419456.52
jplkq asreb zxcvy  uwth_ ndmoi gf___;107094;98606;171149;1.086;148197.50;140337.00;1.006;1420706.49
jpmbq asrey zxcvk  wotu_ dnlih gf___;100872;105820;170157;1.049;136882.00;153024.00;1.027;1426397.93
jpmdq asreb zxcvk  whtf_ uolni gy___;108058;100272;168519;1.078;150123.50;127926.50;1.058;1427830.54
jpmyq asrel zxcvk  whnu_ dtboi gf___;113538;95563;167748;1.188;157724.50;138173.50;1.039;1427857.60
jumgq asreb zxcvk  wdlf_ iotnh yp___;102481;101410;172958;1.011;144244.00;150981.00;1.004;1428411.89
jpmkq asrey zxcvu  whfb_ dtlio gn___;108151;98489;170209;1.098;153880.50;145185.50;1.007;1432060.33
jpryq asmeb zxcvk  uhtw_ dfloi gn___;100872;105820;170157;1.049;138145.50;153258.00;1.024;1442484.44
jpdbq asney zxcvk  wfth_ molri gu___;93870;94499;188480;1.007;129927.50;122007.00;1.008;1442827.21
jpmwq asref zxcvk  bhiy_ dtlno gu___;98355;101009;177485;1.027;131571.50;146438.50;1.025;1443211.03
jymkq asrep zxcvu  whfb_ dtlio gn___;108151;98489;170209;1.098;157109.00;145185.50;1.013;1444220.73
jpmgq asrey zxcvf  wuoh_ lndti bk___;103006;94755;179088;1.087;140665.00;130661.00;1.012;1447194.55
jumyq asreb zxcvk  wotd_ hilnf gp___;100737;102309;173803;1.016;141604.00;156132.50;1.021;1450240.68
jfmbq asreh zxcvk  wytp_ dolni gu___;101308;95812;179729;1.057;139880.50;126430.00;1.022;1450810.33
jpmfq asreb zxcvk  whuy_ tloin gd___;100620;100280;175949;1.003;136444.50;145855.50;1.009;1451577.81
jpmyq asreb zxcvf  wuth_ dnloi gk___;103073;96765;177011;1.065;140517.00;122134.50;1.044;1452357.99
jpmfq asreb zxcvk  whuy_ tolin gd___;100620;100280;175949;1.003;136444.50;147054.50;1.012;1456459.74
jpmfq asreb zxcvk  whuy_ tloni gd___;100620;100280;175949;1.003;136444.50;147956.50;1.014;1460419.30
jpmfq asreb zxcvk  whuy_ dloin gt___;100620;100280;175949;1.003;136444.50;148021.50;1.014;1460714.11
jpeyq asrmf zxcvk  whtb_ dionl gu___;100174;100534;176141;1.004;155300.50;135153.50;1.043;1465988.81
jpmfq asreb zxcvk  whuy_ tolni gd___;100620;100280;175949;1.003;136444.50;149155.50;1.017;1466061.89
jfegq asrdy zxcvk  wpth_ molni bu___;93219;100323;183307;1.076;142640.00;127233.50;1.029;1468777.33
jpmkq asrey zxcvu  whfi_ dtlbo gn___;108151;98489;170209;1.098;153880.50;161535.50;1.005;1468916.44
jpeyq asrmf zxcvk  bhtw_ niudl go___;100174;100534;176141;1.004;155300.50;158322.50;1.001;1468973.45
jlmbq asrey zxcvw  khut_ dnpio gf___;105915;95500;175434;1.109;143525.50;129136.50;1.025;1469579.18
jwmbq asrey zxcvk  phtu_ dnloi gf___;90740;109916;176193;1.211;122344.00;142356.50;1.052;1475015.94
jdryq asemb zxcvg  fhin_ puwot kl___;102931;98468;175450;1.045;152438.00;141076.00;1.013;1480361.09
jlmyq asreb zxcvf  whtu_ dgpoi nk___;108183;90186;178480;1.200;149418.00;146260.00;1.001;1485461.11
jpmyq asrew zxcvk  bdtf_ holin gu___;98055;105997;172797;1.081;131237.00;156905.00;1.074;1490267.17
jpmwq asreb zxcvl  ukoh_ gdyti nf___;114484;92135;170230;1.243;166510.50;161959.00;1.002;1494870.62
jgmyq asreb zxcvw  kdht_ filno pu___;93580;104145;179124;1.113;125859.50;139835.00;1.024;1502170.64
jbdpq asnek zxcvy  wftr_ lomhi gu___;93870;94499;188480;1.007;132593.50;136684.00;1.002;1503136.23
jlymq asreb zxcvf  whtu_ dgpoi nk___;108183;90186;178480;1.200;154338.00;146260.00;1.006;1504042.90
jfdyq asreg zxcvw  klht_ mnuoi bp___;93326;96756;186767;1.037;124472.00;131564.50;1.006;1505322.67
jmdwq aspeh zxcvu  kbto_ lnfir gy___;97776;97120;181953;1.007;144627.00;135243.50;1.010;1506057.34
jpkuq asmer zxcvb  gtdy_ wohil fn___;109787;99425;167637;1.104;170881.50;162432.00;1.005;1507321.52
jpmyq asieb zxcvk  wfth_ grlno du___;91423;86872;198554;1.052;129869.50;115523.00;1.030;1508468.41
jhpgq asdti zxcvk  wmob_ lefrn uy___;91833;97125;187891;1.058;138526.50;142508.50;1.002;1511861.32
